No.,銘柄名,配当金分配年月,"配当金単価
（税引き後）","保有数
（特定）","受取金額
（特定）","保有数
（NISA）","受取金額
（NISA）"
1,バンガード 米国高配当株式ETF,2024/03,0.59USD,0,¥0,2,¥174
2,SPDRポートフォリオS&P 500高配当株式ETF,2024/03,0.33USD,191,"¥7,580",5,¥249
3,GMOフィナンシャルホールディングス,2024/03,¥7.20,20,¥115,0,¥0
4,iシェアーズ コア　米国高配当株 ETF,2024/03,0.75USD,51,"¥4,605",3,¥113
5,ジェイエイシーリクルートメント,2024/03,¥90.00,16,"¥1,148",0,¥0
6,キヤノン,2024/03,¥70.00,2,¥112,0,¥0
7,キリンホールディングス,2024/03,¥36.50,9,¥262,0,¥0
8,住友林業,2024/03,¥65.00,16,¥829,0,¥0
9,積水ハウス,2024/04,¥64.00,15,¥765,0,¥0
10,セブン銀行,2024/06,¥5.50,0,¥0,50,¥275
11,丸紅,2024/06,¥43.50,9,¥313,3,¥131
12,オリックス,2024/06,¥55.80,14,¥624,0,¥0
13,ソフトバンク,2024/06,¥43.00,10,¥344,0,¥0
14,三菱HCキャピタル,2024/06,¥10.00,19,¥152,0,¥0
15,SBIホールディングス,2024/06,¥130.00,11,"¥1,140",2,¥260
16,iシェアーズ コア　米国高配当株 ETF,2024/06,0.83USD,51,"¥5,316",6,¥785
17,双日,2024/06,¥70.00,17,¥949,0,¥0
18,KDDI,2024/06,¥70.00,8,¥447,2,¥140
19,三井物産,2024/06,¥85.00,12,¥813,1,¥85
20,GMOフィナンシャルホールディングス,2024/06,¥11.87,0,¥0,20,¥238
21,NTT,2024/06,¥2.60,125,¥260,0,¥0
22,三菱商事,2024/06,¥35.00,15,¥419,0,¥0
23,住友商事,2024/06,¥62.50,9,¥448,2,¥125
24,伊藤忠商事,2024/06,¥80.00,6,¥383,0,¥0
25,東京海上ホールディングス,2024/06,¥62.50,26,"¥1,296",2,¥125
26,SOMPOホールディングス,2024/06,¥150.00,11,"¥1,316",0,¥0
27,バンガード 米国高配当株式ETF,2024/06,0.92USD,0,¥0,8,"¥1,170"
28,SPDRポートフォリオS&P 500高配当株式ETF,2024/06,0.43USD,191,"¥10,578",6,¥417
29,電源開発,2024/06,¥55.00,13,¥571,3,¥165
30,ENEOSホールディングス,2024/06,¥11.00,0,¥0,2,¥22
31,武田薬品工業,2024/06,¥94.00,26,"¥1,948",0,¥0
32,三井住友フィナンシャルグループ,2024/06,¥135.00,10,"¥1,077",0,¥0
33,三菱UFJフィナンシャル・グループ,2024/06,¥20.50,22,¥360,0,¥0
34,大和ハウス工業,2024/06,¥80.00,8,¥510,1,¥80
35,長谷工コーポレーション,2024/06,¥45.00,8,¥287,0,¥0
36,キヤノン,2024/08,¥75.00,2,¥121,3,¥225
37,花王,2024/09,¥76.00,0,¥0,2,¥152
38,INPEX,2024/09,¥43.00,0,¥0,4,¥172
39,ヒューリック,2024/09,¥26.00,0,¥0,4,¥104
40,日本たばこ産業,2024/09,¥97.00,0,¥0,3,¥291
41,キリンホールディングス,2024/09,¥35.50,9,¥256,2,¥72
42,住友林業,2024/09,¥65.00,16,¥829,5,¥325
43,あおぞら銀行,2024/09,¥19.00,0,¥0,6,¥114
44,GMOフィナンシャルホールディングス,2024/09,¥2.00,0,¥0,20,¥40
45,バンガード 米国高配当株式ETF,2024/09,0.76USD,0,¥0,8,¥874
46,SPDRポートフォリオS&P 500高配当株式ETF,2024/09,0.41USD,191,"¥8,928",6,¥352
47,積水ハウス,2024/09,¥64.00,15,¥765,2,¥128
48,iシェアーズ コア　米国高配当株 ETF,2024/10,1.1USD,51,"¥6,381",6,¥942
49,電源開発,2024/11,¥50.00,13,¥519,8,¥400
50,NTT,2024/11,¥2.60,125,¥260,0,¥0
51,ENEOSホールディングス,2024/11,¥13.00,0,¥0,4,¥52
52,セブン銀行,2024/12,¥5.50,0,¥0,50,¥275
53,三菱商事,2024/12,¥50.00,15,¥599,0,¥0
